LOANID,PAYOFFUID,APPLICANTRESIDENCESTATE,LOANAMOUNT,INTERESTRATE,APR,ORIGINATIONDATE,STATUS,PORTFOLIONAME,PLACEMENT_STATUS,CURRENT_STATE
PD2F27A5F2CDA,fdbe1844-15c1-4300-80b2-d2f27a5f2cda,TX,20000.0000,0.0960,10.990,2023-06-12,Current,Payoff FBO Alliant Credit Union,Placed - HM,MA
P461FA0A1B06A,4513c3d7-d89e-53c6-c7f3-461fa0a1b06a,CA,20500.0000,0.1024,11.990,2020-11-13,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PF2479B8F3FDF,0aeeebfc-c9b6-4069-87b1-f2479b8f3fdf,CA,11500.0000,0.0791,9.990,2019-05-06,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PCB7CCE0CABC7,949ce8a2-f01a-d8b9-6eda-cb7cce0cabc7,CA,27500.0000,0.1024,11.990,2020-06-10,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P0AB2B000965B,d483b7d0-ee88-5390-fe35-0ab2b000965b,NY,13000.0000,0.1473,16.990,2021-02-17,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PD6356517E3B6,21cef8f0-86af-36c0-82ea-d6356517e3b6,MT,35000.0000,0.0826,9.990,2022-05-24,Paid in Full,Theorem Main Master Fund LP - Loan Sale,Placed - HM,MA
PC17788BB0AE3,ffaba1ee-8d03-9259-5b9c-c17788bb0ae3,CA,10000.0000,0.1087,12.990,2022-06-01,Paid in Full,HIVE Participation,Placed - HM,MA
P1C32418A00C6,fb4aa215-6974-4e3b-a72b-1c32418a00c6,NM,16000.0000,0.1570,17.880,2023-04-24,Current,Payoff FBO Alliant Credit Union,Placed - HM,MA
P97F516CF6D0F,73f35092-53b1-9562-01f9-97f516cf6d0f,NJ,20000.0000,0.0865,8.990,2020-06-22,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PA22F265D9C7A,01bb032f-0478-0e6c-08a6-a22f265d9c7a,OH,18000.0000,0.1206,13.990,2020-10-06,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P48568074276E,e18816df-d824-d999-a1c3-48568074276e,NH,33400.0000,0.1206,13.990,2020-06-10,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PC3E2C64D96AF,5ffbd538-eae5-df2d-f415-c3e2c64d96af,NC,18000.0000,0.1138,12.490,2020-03-02,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P1E74B9B3EBED,46fbf476-0974-eea8-63e9-1e74b9b3ebed,NH,27000.0000,0.1383,15.990,2020-07-08,Paid in Full,Payoff FBO Teachers Federal Credit Union,Placed - HM,MA
PF03ACA34D569,7b50cad3-4e44-18e5-a027-f03aca34d569,DC,9000.0000,0.0599,5.990,2020-03-09,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PA02C882E1ECD,d7b64f5a-e522-4fcc-85f3-a02c882e1ecd,CA,19500.0000,0.1384,15.995,2019-02-27,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P29C557189DCA,44359e03-e47b-9a03-fb29-29c557189dca,TX,19000.0000,0.0665,6.990,2021-03-04,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P8652B1DC26BE,aeed2a56-28b8-479e-b710-8652b1dc26be,VT,6500.0000,0.0998,10.990,2018-11-26,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P1418578DD65E,c160dc97-caf7-4f46-be0a-1418578dd65e,IL,5000.0000,0.0997,11.998,2018-06-15,Paid in Full,Payoff FBO Technology CU,Placed - HM,MA
P592BB4580282,7f6745ee-b155-470b-8bda-592bb4580282,MN,5000.0000,0.1581,17.990,2021-01-11,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P4778285C7900,67b6a8d0-259f-4cbd-afd0-4778285c7900,CA,35000.0000,0.1286,15.003,2018-05-11,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P54E0AB14FB06,03812d14-a994-366d-f412-54e0ab14fb06,AZ,17500.0000,0.1383,15.990,2020-06-05,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P87858E2BF96A,45646aed-2369-8bc9-a519-87858e2bf96a,CT,25000.0000,0.1581,17.990,2022-03-24,Paid in Full,HIVE Participation,Placed - HM,MA
P69578FE8469A,a60065ae-096e-4777-8438-69578fe8469a,PA,26000.0000,0.1474,16.997,2018-05-08,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PC1E44A0E6A7A,7a6a7efe-f9f3-679c-8984-c1e44a0e6a7a,FL,12200.0000,0.1964,21.990,2020-07-08,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PA2D924D6C8B1,367ba44d-c75c-0224-1d77-a2d924d6c8b1,VA,40000.0000,0.1206,13.990,2021-05-05,Current,Payoff FBO Alliant Credit Union,Placed - HM,MA
P71060884F6D6,2ec3a64a-9574-544f-9928-71060884f6d6,CO,40000.0000,0.1821,20.640,2022-06-15,Current,Theorem Main Master Fund LP - Loan Sale,Placed - HM,MA
P3400B2DBDEBB,3bf7bbc5-71ab-a8c3-44d4-3400b2dbdebb,OH,5000.0000,0.1751,20.470,2022-08-16,Current,Theorem Main Master Fund LP - Loan Sale,Placed - HM,MA
PACCD1D49412E,f635c1c1-6027-32a9-4e92-accd1d49412e,IL,18500.0000,0.1390,15.990,2022-01-18,Paid in Full,Payoff FBO USAlliance Federal Credit Union,Placed - HM,MA
PA35548A8CEFC,483e6599-bb6d-4cf4-6932-a35548a8cefc,NY,10000.0000,0.0947,11.490,2020-05-20,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PDE5A8553C148,743fa49f-5a23-57af-38d2-de5a8553c148,NY,10500.0000,0.1186,13.990,2021-03-29,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P12AE9E19E382,1a113ef1-84bd-3174-1bf2-12ae9e19e382,TX,6000.0000,0.0599,5.990,2021-08-27,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PF1EC7B0BB8FE,49a73186-91ef-3eaa-b0c8-f1ec7b0bb8fe,NC,5000.0000,0.0971,11.740,2022-06-27,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PB144D48AA740,c2653fe2-fd4e-2a2a-88f1-b144d48aa740,NC,6500.0000,0.0996,11.990,2021-08-11,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P996481FA8DD0,7b31fddd-7aa2-4f2b-e32a-996481fa8dd0,NC,5500.0000,0.1294,14.990,2020-05-06,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P61279ECA29B5,658b9656-12a8-aeaf-0811-61279eca29b5,NH,15000.0000,0.1467,16.740,2022-09-02,Paid in Full,HIVE Participation,Placed - HM,MA
PA846EFE0E468,c365cf57-c1bb-d788-7e1f-a846efe0e468,RI,12000.0000,0.1186,13.990,2020-09-10,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P65F52C99205E,4e474f73-185d-4113-adeb-65f52c99205e,WA,25000.0000,0.1482,16.990,2019-06-05,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P19A67229FA22,191f40c6-8697-4fa4-b534-19a67229fa22,NY,13500.0000,0.1591,17.988,2019-05-17,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P9112F42D92C6,3f21ce83-61e9-c93d-8686-9112f42d92c6,MN,18000.0000,0.1285,14.990,2021-11-10,Paid in Full,Payoff FBO Teachers Federal Credit Union,Placed - HM,MA
P0FFEAD576B44,3375f767-06b3-4f57-aa44-0ffead576b44,TN,5000.0000,0.1680,18.990,2019-07-16,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P53FB64EE4BD7,331e29e8-13d4-c5dc-d827-53fb64ee4bd7,CA,15500.0000,0.0665,6.990,2020-07-17,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PC542F0B838D4,89f3ff20-c089-49db-ad84-c542f0b838d4,IL,25000.0000,0.1512,16.990,2019-01-08,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P2E4DCFA37870,9af972dd-711b-9e8d-695d-2e4dcfa37870,NH,20000.0000,0.1390,15.990,2021-08-27,Current,Payoff FBO First Technology Credit Union,Placed - HM,MA
P3A873AA79BC6,ce85e91f-1afb-44c2-9d39-3a873aa79bc6,NY,13500.0000,0.1591,17.990,2019-06-17,Charge off,Payoff FBO First Technology Credit Union,Placed - HM,MA
PE7FF87B36C00,8fd68073-b9f3-1e5f-c037-e7ff87b36c00,FL,20000.0000,0.0919,9.990,2020-11-12,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PDA9BAC349A32,c9a76078-f5f7-3b5a-51ee-da9bac349a32,VA,25000.0000,0.1964,21.990,2022-05-24,Charge off,Payoff FBO Alliant Credit Union,Placed - Bounce,MA
P529F16BF5F34,cbce5f29-1ca8-28d5-57c3-529f16bf5f34,SC,10000.0000,0.2013,22.490,2022-08-02,Charge off,Payoff FBO Alliant Credit Union,Placed - Bounce,MA
PB6E9D1F061EF,e3f1657f-fc58-71f4-6fa6-b6e9d1f061ef,MS,18000.0000,0.1108,12.990,2022-02-22,Charge off,Payoff FBO USAlliance Federal Credit Union,Placed - HM,MA
P7D26AD15578B,cd4ff6db-6a91-0fd1-d1ae-7d26ad15578b,RI,12500.0000,0.2259,24.990,2022-03-09,Current,Payoff FBO Alliant Credit Union,Placed - HM,MA
PD53B8F032BC4,e6d80cc8-4d47-de4b-72d7-d53b8f032bc4,NJ,15000.0000,0.1137,13.490,2020-04-27,Charge off,Payoff FBO Alliant Credit Union,Placed - Bounce,MA
P3B4C0F8DD5E4,f18f136f-fd74-4cf5-baaf-3b4c0f8dd5e4,NY,9300.0000,0.0997,11.998,2018-06-01,Charge off,Payoff FBO Technology CU,Placed - HM,MA
PA1436D732258,35b385b9-9070-ca39-49d8-a1436d732258,NY,40000.0000,0.0665,6.990,2021-03-01,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P196B090BA88C,5106f9b9-e81b-643f-1224-196b090ba88c,FL,20000.0000,0.1024,11.990,2021-02-26,Paid in Full,Payoff FBO Teachers Federal Credit Union,Placed - HM,MA
PDEE765B84501,33e583ed-9cb6-ce7c-ab77-dee765b84501,CA,10500.0000,0.0791,9.989,2019-08-09,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PD97ABB6AAD8B,ab5b0781-05fc-44bc-ab23-d97abb6aad8b,CT,25000.0000,0.1286,15.003,2017-10-11,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PFBE79580713F,0acb4872-355c-83f2-4254-fbe79580713f,NY,5000.0000,0.1294,14.990,2019-12-18,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PA578AFEDE685,e748a7d1-19bf-32bc-e8cd-a578afede685,FL,35000.0000,0.1383,15.990,2020-06-15,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P804376D188C1,85200bff-c9b7-94e7-6181-804376d188c1,NY,15000.0000,0.0599,5.990,2021-05-07,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PA64BBBBC4AC3,ae553222-d66f-d799-614a-a64bbbbc4ac3,TX,6200.0000,0.1393,15.990,2021-03-04,Paid in Full,Payoff FBO USAlliance Federal Credit Union,Placed - HM,MA
P69FB64F38BFF,d53d0f08-be55-a328-74e6-69fb64f38bff,NE,35000.0000,0.1570,17.880,2023-02-08,Paid in Full,Payoff FBO Blue Federal Credit Union,Placed - HM,MA
P8E14E1A0FBA6,104d599d-97e3-33ec-faa6-8e14e1a0fba6,WA,19000.0000,0.1953,21.990,2019-08-26,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P8DB5B17C148E,de45f466-d711-5d85-4e68-8db5b17c148e,FL,6800.0000,0.1608,18.460,2022-06-17,Paid in Full,Theorem Main Master Fund LP - Loan Sale,Placed - HM,MA
P494430CB5B53,86f91a89-653b-ea1a-17cc-494430cb5b53,NH,13500.0000,0.0599,5.990,2021-03-18,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P384A806DA48E,c9de3e7a-a511-474e-b9b2-384a806da48e,FL,20000.0000,0.1024,11.990,2019-06-11,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P64EF6F2E6620,41dbcd2b-7aa3-4962-92e4-64ef6f2e6620,FL,5000.0000,0.0997,11.998,2015-12-28,Paid in Full,Payoff Consumer Loan Trust,Placed - HM,MA
PF88907871F31,d8accdbd-4e8c-2d9d-3601-f88907871f31,RI,12000.0000,0.1976,21.990,2022-06-28,Charge off,Theorem Main Master Fund LP - Loan Sale,Placed - Resurgent,MA
P9915D6B05B99,be8fac3a-1cc0-934a-3eeb-9915d6b05b99,PA,12000.0000,0.1591,17.990,2022-06-08,Charge off,Payoff FBO Alliant Credit Union,Placed - Bounce,MA
P4586E04744D0,ab3601ec-de0c-ebb8-1c53-4586e04744d0,CT,23000.0000,0.1572,17.990,2021-09-08,Charge off,Payoff FBO Blue Federal Credit Union,Placed - Bounce,MA
P8F23F8C4FA21,3235d22e-cf1e-29b9-aa26-8f23f8c4fa21,RI,20000.0000,0.1206,13.990,2019-10-23,Charge off,Payoff FBO First Technology Credit Union,Placed - First Tech Credit Union,MA
P8D30CC4E2FCF,5c43d54a-84c0-40b5-b940-8d30cc4e2fcf,CA,30000.0000,0.2150,24.500,2023-03-20,Charge off,Payoff FBO Alliant Credit Union,Placed - Bounce,MA
PB27312C0ADBE,4a9ffa89-1527-2de6-dea9-b27312c0adbe,NH,25000.0000,0.0875,10.490,2022-03-28,Paid in Full,Payoff FBO GreenState Credit Union,Placed - HM,MA
P8E255BAB51EE,10bba7d1-19ca-6675-0bad-8e255bab51ee,ME,22000.0000,0.0640,6.740,2022-07-27,Current,Payoff FBO Michigan State University Federal Credit Union,Placed - HM,MA
P5094AFF45F7A,e8bfe150-1eb0-902c-ce3b-5094aff45f7a,NY,35000.0000,0.0919,9.990,2021-08-11,Current,Payoff FBO First Technology Credit Union,Placed - HM,MA
P3C026F62EE7C,36f30091-01fc-05a2-5670-3c026f62ee7c,CA,37000.0000,0.0890,9.240,2023-01-19,Current,Payoff FBO First Technology Credit Union,Placed - HM,MA
P94018783D5C0,a8251b34-bebe-0bff-d3f0-94018783d5c0,OR,16500.0000,0.1206,13.990,2020-12-21,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PC5B4CD90BAC6,069e37be-f83a-e419-266d-c5b4cd90bac6,IN,21000.0000,0.1581,17.990,2020-06-03,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P369F86399E21,39b4e9a8-11be-d276-9034-369f86399e21,FL,27500.0000,0.1024,11.989,2019-12-02,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PF44B5EB6599E,67e34466-ed44-411e-bfb5-f44b5eb6599e,CO,10000.0000,0.1530,16.990,2019-01-09,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PE256EB866A69,7c409be5-ef6b-47e0-6bda-e256eb866a69,IL,12000.0000,0.1830,22.010,2023-01-23,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P111E1067BF74,f552b412-d672-de0b-75c7-111e1067bf74,NH,12000.0000,0.1424,16.490,2020-06-01,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PF7CEE93025F7,bb0fa134-d357-2b85-c082-f7cee93025f7,NC,17000.0000,0.0665,6.990,2020-04-14,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PD78E0C8036F1,4f794fc2-ff3f-4225-2317-d78e0c8036f1,TX,10000.0000,0.1294,14.990,2020-01-15,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PC5FF9FB4A3C3,981ef8cf-5703-4a63-8583-c5ff9fb4a3c3,FL,40000.0000,0.1270,14.060,2023-07-27,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P45E6AFD996BA,b62f2aa5-ea3b-eeea-2e49-45e6afd996ba,RI,17900.0000,0.1285,14.990,2020-03-17,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P1A3F031DB3A9,0ad4ed2e-b5cf-b74e-04f0-1a3f031db3a9,NJ,30000.0000,0.1024,11.990,2020-11-05,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PBEB3129A034E,d5d7159f-1d68-59a2-2978-beb3129a034e,CA,21000.0000,0.0665,6.990,2020-06-10,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P066852330714,3e59d4c4-06da-4276-5090-066852330714,NY,10000.0000,0.1393,15.990,2020-12-30,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
P302BA6AF5BCA,6da070f0-4525-4a72-8e99-302ba6af5bca,VA,15000.0000,0.0996,11.990,2019-06-06,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PECCF632A0FD6,f88131fa-76c3-9e99-c511-eccf632a0fd6,CT,12600.0000,0.0947,11.490,2020-04-27,Paid in Full,Payoff FBO Teachers Federal Credit Union,Placed - HM,MA
P640698A97171,9c218032-aca9-487f-8105-640698a97171,NJ,25000.0000,0.1563,17.996,2018-07-03,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P30D8E7B087A3,b83a2842-d002-4c0e-b4fc-30d8e7b087a3,MI,12500.0000,0.1560,17.150,2023-02-03,Current,Payoff FBO Michigan State University Federal Credit Union,Placed - HM,MA
PBA97D439AB54,081abdfb-ceef-0ac0-acf8-ba97d439ab54,VA,28000.0000,0.0665,6.990,2020-08-28,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PABF1910A03DB,b2554936-f103-b57f-f379-abf1910a03db,WA,16500.0000,0.1383,15.990,2020-09-28,Paid in Full,Payoff FBO Teachers Federal Credit Union,Placed - HM,MA
PACB5E4B5BAB0,26f35dca-3675-1823-ceb2-acb5e4b5bab0,FL,8500.0000,0.0996,11.990,2020-10-08,Paid in Full,Payoff FBO Teachers Federal Credit Union,Placed - HM,MA
