APPLICATION_DATE,APPLICATION_FIRST_NAME,APPLICATION_LAST_NAME,APPLICANTRESIDENCESTATE,LOANID,LOANAMOUNT,CURRENT_STATUS,APR,INTERESTRATE,ORIGINATIONDATE
2020-09-28,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PABF1910A03DB,16500.0000,Paid in Full,15.990,0.1383,2020-09-28
2020-09-22,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P54A2BA435DF5,5000.0000,Current,5.990,0.0599,2020-09-22
2020-07-08,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PC1E44A0E6A7A,12200.0000,Paid in Full,21.990,0.1964,2020-07-08
2020-06-22,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P97F516CF6D0F,20000.0000,Paid in Full,8.990,0.0865,2020-06-22
2020-06-10,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PCB7CCE0CABC7,27500.0000,Current,11.990,0.1024,2020-06-10
2020-06-10,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P48568074276E,33400.0000,Paid in Full,13.990,0.1206,2020-06-10
2020-06-05,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P54E0AB14FB06,17500.0000,Paid in Full,15.990,0.1383,2020-06-05
2020-06-03,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P0F98AE4BFD1E,8000.0000,Paid in Full,17.990,0.1591,2020-06-03
2020-06-03,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PC5B4CD90BAC6,21000.0000,Current,17.990,0.1581,2020-06-03
2020-06-01,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P111E1067BF74,12000.0000,Current,16.490,0.1424,2020-06-01
2020-05-22,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P1864E771ED2C,18000.0000,Current,6.990,0.0665,2020-05-22
2020-05-20,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PA35548A8CEFC,10000.0000,Paid in Full,11.490,0.0947,2020-05-20
2020-04-27,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PD53B8F032BC4,15000.0000,Charge off,13.490,0.1137,2020-04-27
2020-04-14,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PF7CEE93025F7,17000.0000,Current,6.990,0.0665,2020-04-14
2020-03-17,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P45E6AFD996BA,17900.0000,Current,14.990,0.1285,2020-03-17
2020-03-02,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PC3E2C64D96AF,18000.0000,Current,12.490,0.1138,2020-03-02
2020-02-27,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P213B619870EE,18500.0000,Current,11.990,0.1024,2020-02-27
2020-02-18,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PE55895429A02,8500.0000,Paid in Full,5.990,0.0599,2020-02-18
2019-12-11,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P3452EC05C64D,9000.0000,Current,15.989,0.1393,2019-12-11
2019-12-04,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P0A6D9AA5D4E1,11000.0000,Seriously Delinquent 3+ Payments,20.990,0.1877,2019-12-04
2019-12-03,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P70C36B0BCB63,10000.0000,Paid in Full,17.989,0.1591,2019-12-03
2019-12-02,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P369F86399E21,27500.0000,Paid in Full,11.989,0.1024,2019-12-02
2019-11-14,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PD0BE4A67134D,35000.0000,Current,6.990,0.0665,2019-11-14
2019-11-07,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P3D9EF54031C0,9900.0000,Paid in Full,5.990,0.0599,2019-11-07
2019-09-18,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PB64C55559977,12000.0000,Paid in Full,17.989,0.1591,2019-09-18
2019-08-26,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P8E14E1A0FBA6,19000.0000,Current,21.990,0.1953,2019-08-26
2019-08-09,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PDEE765B84501,10500.0000,Paid in Full,9.989,0.0791,2019-08-09
2019-08-07,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PED48A96C6898,9500.0000,Paid in Full,5.990,0.0599,2019-08-07
2019-06-17,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P3A873AA79BC6,13500.0000,Charge off,17.990,0.1591,2019-06-17
2019-06-06,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P302BA6AF5BCA,15000.0000,Paid in Full,11.990,0.0996,2019-06-06
2019-06-05,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P65F52C99205E,25000.0000,Paid in Full,16.990,0.1482,2019-06-05
2019-04-02,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P60561A226BA9,5000.0000,Paid in Full,18.995,0.1680,2019-04-02
2019-02-27,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PA02C882E1ECD,19500.0000,Paid in Full,15.995,0.1384,2019-02-27
2019-01-11,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PEAB3CEAD4935,13000.0000,Current,16.990,0.1530,2019-01-11
2018-06-01,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P3B4C0F8DD5E4,9300.0000,Charge off,11.998,0.0997,2018-06-01
2018-05-11,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P4778285C7900,35000.0000,Paid in Full,15.003,0.1286,2018-05-11
2018-05-08,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,P69578FE8469A,26000.0000,Paid in Full,16.997,0.1474,2018-05-08
2017-10-11,DATA NOT AVAILABLE,DATA NOT AVAILABLE,MA,PD97ABB6AAD8B,25000.0000,Paid in Full,15.003,0.1286,2017-10-11
