routing_number,series_type,acquisition_source,wire_capability,ach_capability,status,bank_name,primary_use,geographic_coverage,notes
071906573,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071908021,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071908869,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071909198,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071911416,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071911584,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071912813,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071913650,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071915580,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071918150,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071918309,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071919463,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071920656,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071921176,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071921396,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071921697,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071921794,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071922227,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071922696,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071922968,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071923543,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071923695,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071923747,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071924005,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071924089,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071924898,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071925062,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071925224,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
071926320,071xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075000734,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075001322,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075009188,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075010193,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075011888,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075012531,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075012683,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075017947,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075072157,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075900148,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075900229,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075900863,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075900902,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075900986,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075901082,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075901273,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075901354,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075901480,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075901710,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075902065,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075902340,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075902625,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075902735,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075903527,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075904115,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075904937,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075905431,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075906003,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075906061,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075906142,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075906595,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075906951,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075908195,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075908218,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075909576,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075910523,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075910659,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075910798,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075910882,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075911195,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075911205,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075911920,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075912165,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075912233,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075912628,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
075912644,075xxx,Marshall & Ilsley,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,M&I Bank legacy from 2011 acquisition
074000162,074xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
074902215,074xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
074903890,074xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
074912807,074xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
074913233,074xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
081000980,081xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
081001714,081xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
081018794,081xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
081303823,081xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091000450,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091001634,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091002298,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091003346,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091006798,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091008453,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091012453,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091300450,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091301634,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091302298,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091303346,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091306798,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091308453,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091312453,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091600450,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
091900450,091xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
101006039,101xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
101100265,101xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
101102315,101xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
122104046,122xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
122105249,122xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
122105595,122xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
122105854,122xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
122487226,122xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
271070801,271xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
271971252,271xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
272070801,272xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
273070801,273xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
274070801,274xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
275070801,275xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
275971252,275xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
275981252,275xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
301271790,301xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
322186288,322xxx,BMO Harris Core,No,Yes,Active,BMO Bank N.A.,ACH only,Regional,Core BMO routing number
