APP_ID,GUID,APP_DT,DOC_UPLOAD_TS,UW_STARTED_TS,UW_AGENT_ASSIGNED_TS,UW_COMPLETE_TS,ESIGN_TS,ORIGINATED_DT,DECLINED_TS,SELECTED_OFFER_AMT,FUNNEL_TYPE,API_PARTNER_DECISION,CAPITAL_PARTNER,APP_CHANNEL_PARENT,AUTOMATION_INCOME_CHECK_STATUS,AUTOMATION_BANK_ACCOUNT_CHECK_STATUS,AUTOMATION_IDENTITY_CHECK_STATUS,DYNAMIC_VERIF_PASS_YN,APP_STATUS,MANUAL_FRAUD_REVIEW_YN,APPLICATION_ID,OCROLUS_APP_REVIEW,PENDING_APPLICANT_RESPONSE_QUEUE,PROCESSING_QUEUE,INCOME_REVIEW,APP_DOCUMENT_REVIEW,FRAUD_AUTO_ESCALATION,FRAUD_TEAM_REVIEW,REDECISION_COMPLETE,AAN_GENERATED,INCOME_BYPASS,ALL_PORTFOLIOS
3013953,24cb72cb-c020-4657-8f86-670797190c9d,2025-08-07,2025-08-07 10:42:49.000000000,2025-08-07 10:45:32.000000000,2025-08-07 12:49:30.000000000,,,,,10000.00,Non-API,,,Search,Ocrolus Paystub,,Pass,N,Underwriting,N,3013953,1,1,0,1,0,1,0,0,0,0,"Auto Escalation, Ocrolus, Pending Applicant Response, Review"
3016579,24ce8a7e-3269-4e88-b17e-73e1e4e8d610,2025-08-07,,2025-08-07 16:16:37.000000000,2025-08-07 16:26:44.000000000,,,,,16000.00,API,Conditional Approval,,Affiliates,Bypass,,Pass,N,Underwriting,N,3016579,0,0,1,0,0,0,0,0,0,1,"API Affiliate, Consumer Statement, Income Bypass, Processing"
3014711,0e8cf793-54cb-4c56-88d6-6db991a5248c,2025-08-07,2025-08-07 11:57:33.000000000,2025-08-07 12:17:06.000000000,2025-08-07 12:49:40.000000000,,,,,12000.00,Non-API,,,CK Lightbox,Ocrolus Paystub,,Fail,N,Underwriting,N,3014711,1,0,1,1,0,0,0,0,0,0,"DOB Match, Ocrolus, Processing, Review"
3000933,af786169-5363-4dfa-8898-44b4612a81a7,2025-08-05,2025-08-05 14:30:49.000000000,2025-08-07 17:38:09.000000000,2025-08-08 07:08:29.000000000,2025-08-08 07:14:23.000000000,,,,20000.00,API,Conditional Approval,,Affiliates,Ocrolus Paystub,,Pass,N,Allocated,N,3000933,0,0,0,0,0,0,0,0,0,0,API Affiliate
2833697,10fb9140-afcf-423e-896b-63e8fbe43b73,2025-07-09,2025-08-07 15:12:10.000000000,2025-08-07 15:14:07.000000000,2025-08-07 15:55:43.000000000,2025-08-08 08:22:10.000000000,2025-08-08 09:59:23.000000000,2025-08-13,,5000.00,Non-API,,CRB_FORTRESS,Unattributed,Pass,Pass,Fail,N,Pre-Funding,N,2833697,0,0,0,0,1,0,0,0,0,0,Document Review
2993310,9a05a54c-734e-4819-97df-73e037d2b041,2025-08-04,2025-08-07 13:13:05.000000000,2025-08-07 13:24:57.000000000,2025-08-07 13:38:26.000000000,,,,,20000.00,Non-API,,,Unattributed,Fail,,Pass,N,Underwriting,N,2993310,1,0,1,0,0,0,0,0,0,0,"GIACT, Ocrolus, Processing"
3016071,512c0ef1-d0f6-45a7-b669-b57306048547,2025-08-07,2025-08-07 15:22:12.000000000,2025-08-07 16:57:14.000000000,2025-08-07 16:59:43.000000000,,,,,18000.00,API,Conditional Approval,,Affiliates,Ocrolus Paystub,,Pass,N,Underwriting,N,3016071,1,1,0,1,0,0,0,0,0,0,"API Affiliate, Ocrolus, Pending Applicant Response, Review"
3015042,f2abd211-435a-45e2-b2ec-e2122b498187,2025-08-07,2025-08-07 12:39:35.000000000,2025-08-07 12:45:05.000000000,2025-08-07 14:54:16.000000000,,,,,14400.00,Non-API,,,CK Lightbox,Ocrolus Paystub,,Pass,N,Underwriting,N,3015042,1,1,0,1,1,0,0,0,0,0,"Document Review, Ocrolus, Pending Applicant Response, Review"
3009694,4b176962-0ca3-4a2b-9900-0f89062b72da,2025-08-06,2025-08-06 16:20:56.000000000,2025-08-07 11:05:59.000000000,2025-08-07 11:10:25.000000000,2025-08-07 11:12:02.000000000,,,,16000.00,Non-API,,,Unattributed,Bypass,,Fail,N,Allocated,N,3009694,0,0,0,0,0,0,0,0,0,1,Income Bypass
3009787,4d5c167e-7bc6-4379-9502-4e02d939246d,2025-08-06,2025-08-07 12:31:29.000000000,2025-08-07 14:00:56.000000000,2025-08-07 14:09:37.000000000,,,,,35000.00,Non-API,,,Unattributed,Fail,,Pass,N,Underwriting,N,3009787,1,1,0,0,0,0,0,0,0,0,"GIACT, Ocrolus, Pending Applicant Response"
3012211,f9cbed41-3969-477f-8a55-da6edfddb2fc,2025-08-07,2025-08-07 06:44:41.000000000,2025-08-07 06:47:10.000000000,2025-08-07 08:01:02.000000000,,,,,35000.00,API,Conditional Approval,,Affiliates,Ocrolus Paystub,,Pass,N,Underwriting,N,3012211,1,1,0,0,0,1,1,0,0,0,"API Affiliate, Auto Escalation, Fraud Team Review, Ocrolus, Pending Applicant Response"
3014115,6a291131-9a1b-43e2-a557-80390b42c9ae,2025-08-07,2025-08-07 17:58:48.000000000,2025-08-07 18:24:27.000000000,2025-08-08 06:40:56.000000000,,,,,32000.00,API,Conditional Approval,,Affiliates,Fail,,Pass,N,Underwriting,N,3014115,1,1,0,0,0,0,0,0,0,0,"API Affiliate, Ocrolus, Pending Applicant Response"
3017196,66dd3228-c116-4d12-a7e0-88d842331cba,2025-08-07,2025-08-07 17:53:02.000000000,2025-08-07 18:17:06.000000000,2025-08-08 07:06:57.000000000,2025-08-08 09:49:46.000000000,,,,40000.00,Non-API,,,CK Lightbox,Ocrolus Paystub,,Pass,N,Allocated,N,3017196,1,0,0,0,0,0,0,0,0,0,Ocrolus
3007232,d91bdc8e-aa48-4230-ae4a-55b58e5ea6a8,2025-08-06,2025-08-06 18:49:38.000000000,2025-08-07 12:10:34.000000000,2025-08-07 14:50:18.000000000,,,,2025-08-08 09:08:14.000000000,30000.00,API,Conditional Approval,,Affiliates,Fail,,Pass,N,Declined,N,3007232,1,1,0,0,1,0,0,0,1,0,"API Affiliate, Document Review, Generated, Ocrolus, Pending Applicant Response"
3011634,11d21236-57ef-4cea-a6c3-b4bdb4ff257f,2025-08-06,2025-08-07 00:18:20.000000000,2025-08-07 00:30:36.000000000,2025-08-07 07:16:03.000000000,,,,,21000.00,API,Conditional Approval,,Affiliates,Fail,,Pass,N,Underwriting,N,3011634,1,0,1,0,0,1,0,1,0,0,"API Affiliate, Auto Escalation, Complete, Ocrolus, Processing"
3012495,060579d4-6914-4f93-8da0-2d22696d37d0,2025-08-07,2025-08-07 06:45:47.000000000,2025-08-07 07:12:50.000000000,2025-08-07 09:08:13.000000000,,,,,20000.00,API,Conditional Approval,,Affiliates,Fail,,Pass,N,Underwriting,N,3012495,1,1,0,1,1,0,0,0,0,0,"API Affiliate, Document Review, Ocrolus, Pending Applicant Response, Review"
2129780,77fa81b1-daf3-4aa5-8cfb-c878521906a2,2025-03-25,,2025-08-07 20:53:36.000000000,2025-08-08 06:22:56.000000000,,,,,30000.00,Non-API,,,Unattributed,Pass,,Fail,N,Allocated,N,2129780,1,0,0,0,0,0,0,0,0,0,Ocrolus
3017833,61b4640b-69f1-499a-be2f-8d162536e55b,2025-08-07,,2025-08-07 23:40:00.000000000,2025-08-08 06:35:37.000000000,,,,,33000.00,Non-API,,,CK Lightbox,Pass,,Pass,N,Allocated,N,,,,,,,,,,,,
2955104,16ee8247-86dd-4cd0-9f0c-308f9996cb8f,2025-07-29,,2025-08-07 20:19:29.000000000,,,2025-08-08 10:29:07.000000000,2025-08-13,,15500.00,Non-API,,FTCU,Search,Pass,Pass,Pass,Y,Pre-Funding,N,2955104,0,0,0,0,1,0,0,0,0,0,"Document Review, Ready for Processing"
3017141,3b584da6-c7f6-4389-b0c0-b9442120f1d2,2025-08-07,2025-08-07 17:46:41.000000000,2025-08-07 17:55:49.000000000,2025-08-08 06:58:18.000000000,,,,,17500.00,Non-API,,,CK Lightbox,Fail,,Pass,N,Underwriting,N,3017141,1,1,0,0,1,0,0,0,0,0,"Document Review, GIACT, Ocrolus, Pending Applicant Response"
3011226,d51f6e0d-d731-45f1-91bf-8c37ef792a48,2025-08-06,2025-08-06 20:38:45.000000000,2025-08-07 13:34:32.000000000,2025-08-07 13:39:10.000000000,,,,,35000.00,Non-API,,,Unattributed,Ocrolus Paystub,,Fail,N,Underwriting,N,3011226,1,1,0,0,0,0,0,1,0,0,"Complete, GIACT, Last Name Match, Ocrolus, Pending Applicant Response"
3018403,b0d71977-79ee-4020-a3db-154fe692917d,2025-08-07,,2025-08-07 23:56:22.000000000,,2025-08-07 23:56:23.000000000,,,,14000.00,Non-API,,,Unattributed,Pass,,Pass,N,Allocated,N,3018403,0,0,0,0,0,0,0,0,0,0,Ready for Processing
3016050,b2e99618-c7ef-4a43-b381-e093e11ee3c8,2025-08-07,,2025-08-07 15:14:04.000000000,,2025-08-07 15:14:05.000000000,,,,30000.00,Non-API,,,CK Lightbox,Pass,Pass,Pass,Y,TIL Generation Complete,N,3016050,0,0,0,0,1,0,0,0,0,0,"Document Review, Ready for Processing"
3011932,fe663c3a-14a9-4512-8b9e-3ebe3fc07788,2025-08-07,2025-08-07 03:23:13.000000000,2025-08-07 03:25:10.000000000,2025-08-07 07:27:40.000000000,2025-08-07 07:32:41.000000000,,,,27000.00,API,Conditional Approval,,Affiliates,Ocrolus Paystub,,Pass,N,Allocated,N,3011932,1,0,0,0,0,0,0,0,0,0,"API Affiliate, Ocrolus"
3003732,659f9162-91c1-4f3e-985b-0efa2974eaab,2025-08-05,2025-08-05 20:16:13.000000000,2025-08-07 19:05:47.000000000,2025-08-08 07:28:35.000000000,2025-08-08 08:31:55.000000000,,,,25000.00,API,Conditional Approval,,Affiliates,Pass,,Fail,N,Allocated,N,3003732,1,0,0,0,0,0,0,0,0,0,"API Affiliate, Ocrolus"
3001929,9fd91b3e-9d63-40d5-b43f-f275ac990575,2025-08-05,2025-08-07 13:05:40.000000000,2025-08-07 13:08:04.000000000,2025-08-07 13:25:51.000000000,,,,,12500.00,Non-API,,,CK Lightbox,Ocrolus Paystub,,Pass,N,Underwriting,N,3001929,1,1,0,1,0,0,0,0,0,0,"GIACT, Ocrolus, Pending Applicant Response, Review"
3016931,cf520596-b0ce-4a35-8afa-b7b0013fce45,2025-08-07,2025-08-07 17:02:56.000000000,2025-08-07 17:10:23.000000000,2025-08-08 06:40:59.000000000,,,,,15000.00,API,Conditional Approval,,Affiliates,Ocrolus Paystub,,Pass,N,Allocated,N,3016931,1,0,0,0,0,0,0,0,0,0,"API Affiliate, Ocrolus"
2977446,41751508-3cfa-4f78-951f-6d4788fb375d,2025-08-01,2025-08-07 05:09:50.000000000,2025-08-07 06:09:52.000000000,2025-08-07 07:47:33.000000000,,,,,6000.00,API,Conditional Approval,,Affiliates,Fail,,Pass,N,Underwriting,N,2977446,1,1,0,0,0,0,0,0,0,0,"API Affiliate, Citizenship, Ocrolus, Pending Applicant Response"
3010286,6e9b7348-5eaf-4969-82f7-f8e49ed1719d,2025-08-06,2025-08-06 21:20:03.000000000,2025-08-07 17:23:22.000000000,2025-08-08 08:30:32.000000000,,,,,17000.00,Non-API,,,CK Lightbox,Ocrolus Paystub,,Fail,N,Underwriting,N,3010286,1,1,0,0,1,1,0,0,0,0,"Address Match, Auto Escalation, Citizenship, Document Review, Ocrolus, Pending Applicant Response"
3016235,f4117214-1aa2-49d6-9be9-eecf43c14f04,2025-08-07,2025-08-07 15:17:12.000000000,2025-08-07 15:42:57.000000000,2025-08-07 16:15:54.000000000,,,,,35000.00,API,Conditional Approval,,Affiliates,Ocrolus Paystub,,Pass,N,Underwriting,N,3016235,1,1,0,1,1,0,0,0,0,0,"API Affiliate, Document Review, Ocrolus, Pending Applicant Response, Review"
3018148,b725f125-a984-4827-8f42-f7de6b02275c,2025-08-07,,2025-08-07 22:02:07.000000000,,2025-08-07 22:02:09.000000000,,,,30000.00,Non-API,,,Unattributed,Pass,,Pass,N,Allocated,N,3018148,0,0,0,0,0,0,0,0,0,0,Ready for Processing
3018044,9f7f959c-c217-491b-b7d1-4f862ea835fc,2025-08-07,2025-08-07 20:56:54.000000000,2025-08-07 21:10:35.000000000,2025-08-08 06:30:01.000000000,,,,2025-08-08 10:27:18.000000000,40000.00,Non-API,,,Unattributed,Fail,,Pass,N,Declined,N,3018044,1,1,0,0,1,1,0,0,1,0,"Auto Escalation, Document Review, Generated, Ocrolus, Pending Applicant Response"
3017586,6deaf8b6-1a67-45eb-87e2-5ba19f90d99e,2025-08-07,2025-08-07 19:04:25.000000000,2025-08-07 19:07:20.000000000,2025-08-08 06:24:33.000000000,,,,,15500.00,Non-API,,,CK Lightbox,Fail,,Pass,N,Underwriting,N,3017586,1,1,0,0,0,0,0,0,0,0,"Ocrolus, Pending Applicant Response"
3016106,07511109-9153-41c9-8779-35f58938d620,2025-08-07,2025-08-07 15:15:27.000000000,2025-08-07 15:17:16.000000000,2025-08-07 16:01:02.000000000,,,,,24600.00,Non-API,,,CK Lightbox,Ocrolus Paystub,,Pass,N,Stacker Check Completed,N,3016106,1,0,0,0,1,0,0,1,0,0,"Complete, Document Review, Ocrolus"
